Id,Codigo,Descripcion,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
1,01111,Cultivo de cereales excepto arroz y para forrajes,,,,,,
2,01112,Cultivo de legumbres,,,,,,
3,01113,Cultivo de semillas oleaginosas,,,,,,
4,01114,Cultivo de plantas para la preparación de semillas,,,,,,
5,01119,Cultivo de otros cereales excepto arroz y forrajeros n.c.p.,,,,,,
6,01120,Cultivo de arroz,,,,,,
7,01131,Cultivo de raíces y tubérculos,,,,,,
8,01132,"Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares",,,,,,
9,01133,Cultivo hortícola de fruto,,,,,,
10,01134,Cultivo de hortalizas de hoja y otras hortalizas ncp,,,,,,
11,01140,Cultivo de caña de azúcar,,,,,,
12,01150,Cultivo de tabaco,,,,,,
13,01161,Cultivo de algodón,,,,,,
14,01162,Cultivo de fibras vegetales excepto algodón,,,,,,
15,01191,Cultivo de plantas no perennes para la producción de semillas y flores,,,,,,
16,01192,Cultivo de cereales y pastos para la alimentación animal,,,,,,
17,01199,Producción de cultivos no estacionales ncp,,,,,,
18,01220,Cultivo de frutas tropicales,,,,,,
19,01230,Cultivo de cítricos,,,,,,
20,01240,Cultivo de frutas de pepita y hueso,,,,,,
21,01251,Cultivo de frutas ncp,,,,,,
22,01252,Cultivo de otros frutos y nueces de árboles y arbustos,,,,,,
23,01260,Cultivo de frutos oleaginosos,,,,,,
24,01271,Cultivo de café,,,,,,
25,01272,Cultivo de plantas para la elaboración de bebidas excepto café,,,,,,
26,01281,Cultivo de especias y aromáticas,,,,,,
27,01282,Cultivo de plantas para la obtención de productos medicinales y farmacéuticos,,,,,,
28,01291,Cultivo de árboles de hule (caucho) para la obtención de látex,,,,,,
29,01292,Cultivo de plantas para la obtención de productos químicos y colorantes,,,,,,
30,01299,Producción de cultivos perennes ncp,,,,,,
31,01300,Propagación de plantas,,,,,,
32,01301,Cultivo de plantas y flores ornamentales,,,,,,
33,01410,Cría y engorde de ganado bovino,,,,,,
34,01420,Cría de caballos y otros equinos,,,,,,
35,01440,Cría de ovejas y cabras,,,,,,
36,01450,Cría de cerdos,,,,,,
37,01460,Cría de aves de corral y producción de huevos,,,,,,
38,01491,Cría de abejas apicultura para la obtención de miel y otros productos apícolas,,,,,,
39,01492,Cría de conejos,,,,,,
40,01493,Cría de iguanas y garrobos,,,,,,
41,01494,Cría de mariposas y otros insectos,,,,,,
42,01499,Cría y obtención de productos animales n.c.p.,,,,,,
43,01500,Cultivo de productos agrícolas en combinación con la cría de animales,,,,,,
44,01611,Servicios de maquinaria agrícola,,,,,,
45,01612,Control de plagas,,,,,,
46,01613,Servicios de riego,,,,,,
47,01614,Servicios de contratación de mano de obra para la agricultura,,,,,,
48,01619,Servicios agrícolas ncp,,,,,,
49,01621,"Actividades para mejorar la reproducción, el crecimiento y el rendimiento de los animales y sus productos",,,,,,
50,01622,Servicios de mano de obra pecuaria,,,,,,
51,01629,Servicios pecuarios ncp,,,,,,
52,01631,Labores post cosecha de preparación de los productos agrícolas para su comercialización o para la industria,,,,,,
53,01632,Servicio de beneficio de café,,,,,,
54,01633,Servicio de beneficiado de plantas textiles (incluye el beneficiado cuando este es realizado en la misma explotación agropecuaria),,,,,,
55,01640,Tratamiento de semillas para la propagación,,,,,,
56,01700,"Caza ordinaria y mediante trampas, repoblación de animales de caza y servicios conexos",,,,,,
57,02100,Silvicultura y otras actividades forestales,,,,,,
58,02200,Extracción de madera,,,,,,
59,02300,Recolección de productos diferentes a la madera,,,,,,
60,02400,Servicios de apoyo a la silvicultura,,,,,,
61,03110,Pesca marítima de altura y costera,,,,,,
62,03120,Pesca de agua dulce,,,,,,
63,03210,Acuicultura marítima,,,,,,
64,03220,Acuicultura de agua dulce,,,,,,
65,03300,Servicios de apoyo a la pesca y acuicultura,,,,,,
66,05100,Extracción de hulla,,,,,,
67,05200,Extracción y aglomeración de lignito,,,,,,
68,06100,Extracción de petróleo crudo,,,,,,
69,06200,Extracción de gas natural,,,,,,
70,07100,Extracción de minerales de hierro,,,,,,
71,07210,Extracción de minerales de uranio y torio,,,,,,
72,07290,Extracción de minerales metalíferos no ferrosos,,,,,,
73,08100,"Extracción de piedra, arena y arcilla",,,,,,
74,08910,Extracción de minerales para la fabricación de abonos y productos químicos,,,,,,
75,08920,Extracción y aglomeración de turba,,,,,,
76,08930,Extracción de sal,,,,,,
77,08990,Explotación de otras minas y canteras ncp,,,,,,
78,09100,Actividades de apoyo a la extracción de petróleo y gas natural,,,,,,
79,09900,Actividades de apoyo a la explotación de minas y canteras,,,,,,
80,10101,Servicio de rastros y mataderos de bovinos y porcinos,,,,,,
81,10102,Matanza y procesamiento de bovinos y porcinos,,,,,,
82,10103,Matanza y procesamientos de aves de corral,,,,,,
83,10104,Elaboración y conservación de embutidos y tripas naturales,,,,,,
84,10105,Servicios de conservación y empaque de carnes,,,,,,
85,10106,Elaboración y conservación de grasas y aceites animales,,,,,,
86,10107,Servicios de molienda de carne,,,,,,
87,10108,Elaboración de productos de carne ncp,,,,,,
88,10201,"Procesamiento y conservación de pescado, crustáceos y moluscos",,,,,,
89,10209,Fabricación de productos de pescado ncp,,,,,,
90,10301,Elaboración de jugos de frutas y hortalizasv,,,,,,
91,10302,"Elaboración y envase de jaleas, mermeladas y frutas deshidratadas",,,,,,
92,10309,Elaboración de productos de frutas y hortalizas n.c.p.,,,,,,
93,10401,Fabricación de aceites y grasas vegetales y animales comestibles,,,,,,
94,10402,Fabricación de aceites y grasas vegetales y animales no comestibles,,,,,,
95,10409,Servicio de maquilado de aceites,,,,,,
96,10501,Fabricación de productos lácteos excepto sorbetes y quesos sustitutos,,,,,,
97,10502,Fabricación de sorbetes y helados,,,,,,
98,10503,Fabricación de quesos,,,,,,
99,10611,Molienda de cereales,,,,,,
100,10612,Elaboración de cereales para el desayuno y similares,,,,,,
101,10613,Servicios de beneficiado de productos agrícolas ncp (excluye Beneficio de azúcar rama 1072 y beneficio de café rama 0163),,,,,,
102,10621,Fabricación de almidón,,,,,,
103,10628,Servicio de molienda de maíz húmedo molino para nixtamal,,,,,,
104,10711,Elaboración de tortillas,,,,,,
105,10712,"Fabricación de pan, galletas y barquillos",,,,,,
106,10713,Fabricación de repostería,,,,,,
107,10721,Ingenios azucareros,,,,,,
108,10722,Molienda de caña de azúcar para la elaboración de dulces,,,,,,
109,10723,Elaboración de jarabes de azúcar y otros similares,,,,,,
110,10724,Maquilado de azúcar de caña,,,,,,
111,10730,"Fabricación de cacao, chocolates y productos de confitería",,,,,,
112,10740,"Elaboración de macarrones, fideos, y productos farináceos similares",,,,,,
113,10750,Elaboración de comidas y platos preparados para la reventa en locales y/o para exportación,,,,,,
114,10791,Elaboración de productos de café,,,,,,
115,10792,"Elaboración de especies, sazonadores y condimentos",,,,,,
116,10793,"Elaboración de sopas, cremas y consomé",,,,,,
117,10794,Fabricación de bocadillos tostados y/o fritos,,,,,,
118,10799,Elaboración de productos alimenticios ncp,,,,,,
119,10800,Elaboración de alimentos preparados para animales,,,,,,
120,11012,Fabricación de aguardiente y licores,,,,,,
121,11020,Elaboración de vinos,,,,,,
122,11030,Fabricación de cerveza,,,,,,
123,11041,Fabricación de aguas gaseosas,,,,,,
124,11042,Fabricación y envasado de agua,,,,,,
125,11043,Elaboración de refrescos,,,,,,
126,11048,Maquilado de aguas gaseosas,,,,,,
127,11049,Elaboración de bebidas no alcohólicas,,,,,,
128,12000,Elaboración de productos de tabaco,,,,,,
129,13111,Preparación de fibras textiles,,,,,,
130,13112,Fabricación de hilados,,,,,,
131,13120,Fabricación de telas,,,,,,
132,13130,Acabado de productos textiles,,,,,,
133,13910,Fabricación de tejidos de punto y ganchillo,,,,,,
134,13921,Fabricación de productos textiles para el hogar,,,,,,
135,13922,"Sacos, bolsas y otros artículos textiles",,,,,,
136,13929,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir ncp",,,,,,
137,13930,Fabricación de tapices y alfombras,,,,,,
138,13941,"Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)",,,,,,
139,13942,Fabricación de redes de diversos materiales,,,,,,
140,13948,"Maquilado de productos trenzables de cualquier material (petates, sillas, etc.)",,,,,,
141,13991,"Fabricación de adornos, etiquetas y otros artículos para prendas de vestir",,,,,,
142,13992,Servicio de bordados en artículos y prendas de tela,,,,,,
143,13999,Fabricación de productos textiles ncp,,,,,,
144,14101,"Fabricación de ropa interior, para dormir y similares",,,,,,
145,14102,Fabricación de ropa para niños,,,,,,
146,14103,Fabricación de prendas de vestir para ambos sexos,,,,,,
147,14104,Confección de prendas a medida,,,,,,
148,14105,Fabricación de prendas de vestir para deportes,,,,,,
149,14106,Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles,,,,,,
150,14108,"Maquilado de prendas de vestir, accesorios y otros",,,,,,
151,14109,Fabricación de prendas y accesorios de vestir n.c.p.,,,,,,
152,14200,Fabricación de artículos de piel,,,,,,
153,14301,"Fabricación de calcetines, calcetas, medias (panty house) y otros similares",,,,,,
154,14302,Fabricación de ropa interior de tejido de punto,,,,,,
155,14309,Fabricación de prendas de vestir de tejido de punto ncp,,,,,,
156,15110,"Curtido y adobo de cueros, adobo y teñido de pieles",,,,,,
157,15121,"Fabricación de maletas, bolsos de mano y otros artículos de marroquinería",,,,,,
158,15122,"Fabricación de monturas, accesorios y vainas talabartería",,,,,,
159,15123,Fabricación de artesanías principalmente de cuero natural y sintético,,,,,,
160,15128,"Maquilado de artículos de cuero natural, sintético y de otros materiales",,,,,,
161,15201,Fabricación de calzado,,,,,,
162,15202,Fabricación de partes y accesorios de calzado,,,,,,
163,15208,Maquilado de partes y accesorios de calzado,,,,,,
164,16100,Aserradero y acepilladura de madera,,,,,,
165,16210,"Fabricación de madera laminada, terciada, enchapada y contrachapada, paneles para la construcción",,,,,,
166,16220,Fabricación de partes y piezas de carpintería para edificios y construcciones,,,,,,
167,16230,Fabricación de envases y recipientes de madera,,,,,,
168,16292,"Fabricación de artesanías de madera, semillas, materiales trenzables",,,,,,
169,16299,"Fabricación de productos de madera, corcho, paja y materiales trenzables ncp",,,,,,
170,17010,"Fabricación de pasta de madera, papel y cartón",,,,,,
171,17020,Fabricación de papel y cartón ondulado y envases de papel y cartón,,,,,,
172,17091,Fabricación de artículos de papel y cartón de uso personal y doméstico,,,,,,
173,17092,Fabricación de productos de papel ncp,,,,,,
174,18110,Impresión,,,,,,
175,18120,Servicios relacionados con la impresión,,,,,,
176,18200,Reproducción de grabaciones,,,,,,
177,19100,Fabricación de productos de hornos de coque,,,,,,
178,19201,Fabricación de combustible,,,,,,
179,19202,Fabricación de aceites y lubricantes,,,,,,
180,20111,Fabricación de materias primas para la fabricación de colorantes,,,,,,
181,20112,Fabricación de materiales curtientes,,,,,,
182,20113,Fabricación de gases industriales,,,,,,
183,20114,Fabricación de alcohol etílico,,,,,,
184,20119,Fabricación de sustancias químicas básicas,,,,,,
185,20120,Fabricación de abonos y fertilizantes,,,,,,
186,20130,Fabricación de plástico y caucho en formas primarias,,,,,,
187,20210,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,,,,,,
188,20220,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",,,,,,
189,20231,"Fabricación de jabones, detergentes y similares para limpieza",,,,,,
190,20232,"Fabricación de perfumes, cosméticos y productos de higiene y cuidado personal, incluyendo tintes, champú, etc.",,,,,,
191,20291,"Fabricación de tintas y colores para escribir y pintar, fabricación de cintas para impresoras",,,,,,
192,20292,"Fabricación de productos pirotécnicos, explosivos y municiones",,,,,,
193,20299,Fabricación de productos químicos n.c.p.,,,,,,
194,20300,Fabricación de fibras artificiales,,,,,,
195,21001,"Manufactura de productos farmacéuticos, sustancias químicas y productos botánicos",,,,,,
196,21008,Maquilado de medicamentos,,,,,,
197,22110,"Fabricación de cubiertas y cámaras, renovación y recauchutado de cubiertas",,,,,,
198,22190,Fabricación de otros productos de caucho,,,,,,
199,22201,Fabricación de envases plásticos,,,,,,
200,22202,Fabricación de productos plásticos para uso personal o doméstico,,,,,,
201,22208,Maquila de plásticos,,,,,,
202,22209,Fabricación de productos plásticos n.c.p.,,,,,,
203,23101,Fabricación de vidrio,,,,,,
204,23102,Fabricación de recipientes y envases de vidrio,,,,,,
205,23108,Servicio de maquilado,,,,,,
206,23109,Fabricación de productos de vidrio ncp,,,,,,
207,23910,Fabricación de productos refractarios,,,,,,
208,23920,Fabricación de productos de arcilla para la construcción,,,,,,
209,23931,Fabricación de productos de cerámica y porcelana no refractaria,,,,,,
210,23932,Fabricación de productos de cerámica y porcelana ncp,,,,,,
211,23940,"Fabricación de cemento, cal y yeso",,,,,,
212,23950,"Fabricación de artículos de hormigón, cemento y yeso",,,,,,
213,23960,"Corte, tallado y acabado de la piedra",,,,,,
214,23990,Fabricación de productos minerales no metálicos ncp,,,,,,
215,24100,Industrias básicas de hierro y acero,,,,,,
216,24200,Fabricación de productos primarios de metales preciosos y metales no ferrosos,,,,,,
217,24310,Fundición de hierro y acero,,,,,,
218,24320,Fundición de metales no ferrosos,,,,,,
219,25111,Fabricación de productos metálicos para uso estructural,,,,,,
220,25118,Servicio de maquila para la fabricación de estructuras metálicas,,,,,,
221,25120,"Fabricación de tanques, depósitos y recipientes de metal",,,,,,
222,25130,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",,,,,,
223,25200,Fabricación de armas y municiones,,,,,,
224,25910,"Forjado, prensado, estampado y laminado de metales, pulvimetalurgia",,,,,,
225,25920,Tratamiento y revestimiento de metales,,,,,,
226,25930,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",,,,,,
227,25991,Fabricación de envases y artículos conexos de metal,,,,,,
228,25992,Fabricación de artículos metálicos de uso personal y/o doméstico,,,,,,
229,25999,Fabricación de productos elaborados de metal ncp,,,,,,
230,26100,Fabricación de componentes electrónicos,,,,,,
231,26200,Fabricación de computadoras y equipo conexo,,,,,,
232,26300,Fabricación de equipo de comunicaciones,,,,,,
233,26400,"Fabricación de aparatos electrónicos de consumo para audio, video radio y televisión",,,,,,
234,26510,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y de control de procesos industriales",,,,,,
235,26520,Fabricación de relojes y piezas de relojes,,,,,,
236,26600,Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico,,,,,,
237,26700,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,
238,26800,Fabricación de medios magnéticos y ópticos,,,,,,
239,27100,"Fabricación de motores, generadores, transformadores eléctricos, aparatos de distribución y control de electricidad",,,,,,
240,27200,"Fabricación de pilas, baterías y acumuladores",,,,,,
241,27310,Fabricación de cables de fibra óptica,,,,,,
242,27320,Fabricación de otros hilos y cables eléctricos,,,,,,
243,27330,Fabricación de dispositivos de cableados,,,,,,
244,27400,Fabricación de equipo eléctrico de iluminación,,,,,,
245,27500,Fabricación de aparatos de uso doméstico,,,,,,
246,27900,Fabricación de otros tipos de equipo eléctrico,,,,,,
247,28110,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",,,,,,
248,28120,Fabricación de equipo hidráulico,,,,,,
249,28130,"Fabricación de otras bombas, compresores, grifos y válvulas",,,,,,
250,28140,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",,,,,,
251,28150,Fabricación de hornos y quemadores,,,,,,
252,28160,Fabricación de equipo de elevación y manipulación,,,,,,
253,28170,Fabricación de maquinaria y equipo de oficina,,,,,,
254,28180,Fabricación de herramientas manuales,,,,,,
255,28190,Fabricación de otros tipos de maquinaria de uso general,,,,,,
256,28210,Fabricación de maquinaria agropecuaria y forestal,,,,,,
257,28220,Fabricación de máquinas para conformar metales y maquinaria herramienta,,,,,,
258,28230,Fabricación de maquinaria metalúrgica,,,,,,
259,28240,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,,,,,,
260,28250,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",,,,,,
261,28260,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",,,,,,
262,28291,Fabricación de máquinas para imprenta,,,,,,
263,28299,Fabricación de maquinaria de uso especial ncp,,,,,,
264,29100,Fabricación vehículos automotores,,,,,,
265,29200,"Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semiremolques",,,,,,
266,29300,"Fabricación de partes, piezas y accesorios para vehículos automotores",,,,,,
267,30110,Fabricación de buques,,,,,,
268,30120,Construcción y reparación de embarcaciones de recreo,,,,,,
269,30200,Fabricación de locomotoras y de material rodante,,,,,,
270,30300,Fabricación de aeronaves y naves espaciales,,,,,,
271,30400,Fabricación de vehículos militares de combate,,,,,,
272,30910,Fabricación de motocicletas,,,,,,
273,30920,Fabricación de bicicletas y sillones de ruedas para inválidos,,,,,,
274,30990,Fabricación de equipo de transporte ncp,,,,,,
275,31001,Fabricación de colchones y somier,,,,,,
276,31002,Fabricación de muebles y otros productos de madera a medida,,,,,,
277,31008,Servicios de maquilado de muebles,,,,,,
278,31009,Fabricación de muebles ncp,,,,,,
279,32110,Fabricación de joyas platerías y joyerías,,,,,,
280,32120,Fabricación de joyas de imitación (fantasía) y artículos conexos,,,,,,
281,32200,Fabricación de instrumentos musicales,,,,,,
282,32301,Fabricación de artículos de deporte,,,,,,
283,32308,Servicio de maquila de productos deportivos,,,,,,
284,32401,Fabricación de juegos de mesa y de salón,,,,,,
285,32402,Servicio de maquilado de juguetes y juegos,,,,,,
286,32409,Fabricación de juegos y juguetes n.c.p.,,,,,,
287,32500,Fabricación de instrumentos y materiales médicos y odontológicos,,,,,,
288,32901,"Fabricación de lápices, bolígrafos, sellos y artículos de librería en general",,,,,,
289,32902,"Fabricación de escobas, cepillos, pinceles y similares",,,,,,
290,32903,Fabricación de artesanías de materiales diversos,,,,,,
291,32904,Fabricación de artículos de uso personal y domésticos n.c.p.,,,,,,
292,32905,Fabricación de accesorios para las confecciones y la marroquinería n.c.p.,,,,,,
293,32908,Servicios de maquila ncp,,,,,,
294,32909,Fabricación de productos manufacturados n.c.p.,,,,,,
295,33110,Reparación y mantenimiento de productos elaborados de metal,,,,,,
296,33120,Reparación y mantenimiento de maquinaria,,,,,,
297,33130,Reparación y mantenimiento de equipo electrónico y óptico,,,,,,
298,33140,Reparación y mantenimiento de equipo eléctrico,,,,,,
299,33150,"Reparación y mantenimiento de equipo de transporte, excepto vehículos automotores",,,,,,
300,33190,Reparación y mantenimiento de equipos n.c.p.,,,,,,
301,33200,Instalación de maquinaria y equipo industrial,,,,,,
302,35101,Generación de energía eléctrica,,,,,,
303,35102,Transmisión de energía eléctrica,,,,,,
304,35103,Distribución de energía eléctrica,,,,,,
305,35200,"Fabricación de gas, distribución de combustibles gaseosos por tuberías",,,,,,
306,35300,Suministro de vapor y agua caliente,,,,,,
307,36000,"Captación, tratamiento y suministro de agua",,,,,,
308,37000,Evacuación de aguas residuales (alcantarillado),,,,,,
309,38110,Recolección y transporte de desechos sólidos proveniente de hogares y sector urbano,,,,,,
310,38120,Recolección de desechos peligrosos,,,,,,
311,38210,Tratamiento y eliminación de desechos inicuos,,,,,,
312,38220,Tratamiento y eliminación de desechos peligrosos,,,,,,
313,38301,Reciclaje de desperdicios y desechos textiles,,,,,,
314,38302,Reciclaje de desperdicios y desechos de plástico y caucho,,,,,,
315,38303,Reciclaje de desperdicios y desechos de vidrio,,,,,,
316,38304,Reciclaje de desperdicios y desechos de papel y cartón,,,,,,
317,38305,Reciclaje de desperdicios y desechos metálicos,,,,,,
318,38309,Reciclaje de desperdicios y desechos no metálicos n.c.p.,,,,,,
319,39000,Actividades de Saneamiento y otros Servicios de Gestión de Desechos,,,,,,
320,41001,Construcción de edificios residenciales,,,,,,
321,41002,Construcción de edificios no residenciales,,,,,,
322,42100,"Construcción de carreteras, calles y caminos",,,,,,
323,42200,Construcción de proyectos de servicio público,,,,,,
324,42900,Construcción de obras de ingeniería civil n.c.p.,,,,,,
325,43110,Demolición,,,,,,
326,43120,Preparación de terreno,,,,,,
327,43210,Instalaciones eléctricas,,,,,,
328,43220,"Instalación de fontanería, calefacción y aire acondicionado",,,,,,
329,43290,Otras instalaciones para obras de construcción,,,,,,
330,43300,Terminación y acabado de edificios,,,,,,
331,43900,Otras actividades especializadas de construcción,,,,,,
332,43901,Fabricación de techos y materiales diversos,,,,,,
333,45100,Venta de vehículos automotores,,,,,,
334,45201,Reparación mecánica de vehículos automotores,,,,,,
335,45202,Reparaciones eléctricas del automotor y recarga de baterías,,,,,,
336,45203,Enderezado y pintura de vehículos automotores,,,,,,
337,45204,"Reparaciones de radiadores, escapes y silenciadores",,,,,,
338,45205,"Reparación y reconstrucción de vías, stop y otros artículos de fibra de vidrio",,,,,,
339,45206,Reparación de llantas de vehículos automotores,,,,,,
340,45207,Polarizado de vehículos (mediante la adhesión de papel especial a los vidrios),,,,,,
341,45208,Lavado y pasteado de vehículos (carwash),,,,,,
342,45209,Reparaciones de vehículos n.c.p.,,,,,,
343,45211,Remolque de vehículos automotores,,,,,,
344,45301,"Venta de partes, piezas y accesorios nuevos para vehículos automotores",,,,,,
345,45302,"Venta de partes, piezas y accesorios usados para vehículos automotores",,,,,,
346,45401,Venta de motocicletas,,,,,,
347,45402,"Venta de repuestos, piezas y accesorios de motocicletas",,,,,,
348,45403,Mantenimiento y reparación de motocicletas,,,,,,
349,46100,Venta al por mayor a cambio de retribución o por contrata,,,,,,
350,46201,Venta al por mayor de materias primas agrícolas,,,,,,
351,46202,Venta al por mayor de productos de la silvicultura,,,,,,
352,46203,Venta al por mayor de productos pecuarios y de granja,,,,,,
353,46211,Venta de productos para uso agropecuario,,,,,,
354,46291,"Venta al por mayor de granos básicos (cereales, leguminosas)",,,,,,
355,46292,Venta al por mayor de semillas mejoradas para cultivo,,,,,,
356,46293,Venta al por mayor de café oro y uva,,,,,,
357,46294,Venta al por mayor de caña de azúcar,,,,,,
358,46295,"Venta al por mayor de flores, plantas y otros productos naturales",,,,,,
359,46296,Venta al por mayor de productos agrícolas,,,,,,
360,46297,Venta al por mayor de ganado bovino (vivo),,,,,,
361,46298,"Venta al por mayor de animales porcinos, ovinos, caprino, canículas, apícolas, avícolas vivos",,,,,,
362,46299,Venta de otras especies vivas del reino animal,,,,,,
363,46301,Venta al por mayor de alimentos,,,,,,
364,46302,Venta al por mayor de bebidas,,,,,,
365,46303,Venta al por mayor de tabaco,,,,,,
366,46371,"Venta al por mayor de frutas, hortalizas (verduras), legumbres y tubérculos",,,,,,
367,46372,"Venta al por mayor de pollos, gallinas destazadas, pavos y otras aves",,,,,,
368,46373,"Venta al por mayor de carne bovina y porcina, productos de carne y embutidos",,,,,,
369,46374,Venta al por mayor de huevos,,,,,,
370,46375,Venta al por mayor de productos lácteos,,,,,,
371,46376,"Venta al por mayor de productos farináceos de panadería (pan dulce, cakes, repostería, etc.)",,,,,,
372,46377,"Venta al por mayor de pastas alimenticias, aceites y grasas comestibles vegetal y animal",,,,,,
373,46378,Venta al por mayor de sal comestible,,,,,,
374,46379,Venta al por mayor de azúcar,,,,,,
375,46391,"Venta al por mayor de abarrotes (vinos, licores, productos alimenticios envasados, etc.)",,,,,,
376,46392,Venta al por mayor de aguas gaseosas,,,,,,
377,46393,Venta al por mayor de agua purificada,,,,,,
378,46394,"Venta al por mayor de refrescos y otras bebidas, líquidas o en polvo",,,,,,
379,46395,Venta al por mayor de cerveza y licores,,,,,,
380,46396,Venta al por mayor de hielo,,,,,,
381,46411,"Venta al por mayor de hilados, tejidos y productos textiles de mercería",,,,,,
382,46412,Venta al por mayor de artículos textiles excepto confecciones para el hogar,,,,,,
383,46413,Venta al por mayor de confecciones textiles para el hogar,,,,,,
384,46414,Venta al por mayor de prendas de vestir y accesorios de vestir,,,,,,
385,46415,Venta al por mayor de ropa usada,,,,,,
386,46416,Venta al por mayor de calzado,,,,,,
387,46417,Venta al por mayor de artículos de marroquinería y talabartería,,,,,,
388,46418,Venta al por mayor de artículos de peletería,,,,,,
389,46419,Venta al por mayor de otros artículos textiles n.c.p.,,,,,,
390,46471,Venta al por mayor de instrumentos musicales,,,,,,
391,46472,"Venta al por mayor de colchones, almohadas, cojines, etc.",,,,,,
392,46473,Venta al por mayor de artículos de aluminio para el hogar y para otros usos,,,,,,
393,46474,"Venta al por mayor de depósitos y otros artículos plásticos para el hogar y otros usos, incluyendo los desechables de durapax y no desechables",,,,,,
394,46475,"Venta al por mayor de cámaras fotográficas, accesorios y materiales",,,,,,
395,46482,"Venta al por mayor de medicamentos, artículos y otros productos de uso veterinario",,,,,,
396,46483,Venta al por mayor de productos y artículos de belleza y de uso personal,,,,,,
397,46484,Venta de productos farmacéuticos y medicinales,,,,,,
398,46491,"Venta al por mayor de productos medicinales, cosméticos, perfumería y productos de limpieza",,,,,,
